upstream;category;language;cve_id;fix_sha;filepath;churn;fork;fork_pushed;sha_match;status;sim_2a;label_2a;sim_patch;sim_vuln;delta;label_2b;method;ts
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;4ea0418abefab2aa93f8851a4d39c723e703e6b0;crates/matrix-sdk-base/src/room/room_info.rs;24;tchapgouv/matrix-rust-sdk;2026-08-31T17:08:21Z;False;ZONA_INCERTEZA;0.8961;CORRIGIDO;0.8961;0.9081;-0.012;ZONA_INCERTEZA;lev_only;2026-08-31T23:20:59.352195+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;4ea0418abefab2aa93f8851a4d39c723e703e6b0;crates/matrix-sdk-base/src/room/room_info.rs;24;Hywan/matrix-rust-sdk;2026-08-31T16:18:52Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:20:59.638651+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;4ea0418abefab2aa93f8851a4d39c723e703e6b0;crates/matrix-sdk/tests/integration/client.rs;84;zecakeh/matrix-rust-sdk;2026-08-31T18:26:38Z;False;NAO_CORRIGIDO;0.2757;NAO_CORRIGIDO;0.2757;0.2802;-0.0045;ZONA_INCERTEZA;lev_only;2026-08-31T23:21:02.039452+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;4ea0418abefab2aa93f8851a4d39c723e703e6b0;crates/matrix-sdk/tests/integration/client.rs;84;tchapgouv/matrix-rust-sdk;2026-08-31T17:08:21Z;False;ZONA_INCERTEZA;0.7463;ZONA_INCERTEZA;0.7463;0.7728;-0.0265;ZONA_INCERTEZA;lev_only;2026-08-31T23:21:03.147558+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;4ea0418abefab2aa93f8851a4d39c723e703e6b0;crates/matrix-sdk/tests/integration/client.rs;84;Hywan/matrix-rust-sdk;2026-08-31T16:18:52Z;False;ZONA_INCERTEZA;0.6604;ZONA_INCERTEZA;0.6604;0.684;-0.0236;ZONA_INCERTEZA;lev_only;2026-08-31T23:21:04.234253+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-53549;d0c01006e4808db5eb96ad5c496416f284d8bd3c;crates/matrix-sdk-sqlite/src/event_cache_store.rs;101;zecakeh/matrix-rust-sdk;2026-08-31T18:26:38Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:21:07.791774+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-53549;d0c01006e4808db5eb96ad5c496416f284d8bd3c;crates/matrix-sdk-sqlite/src/event_cache_store.rs;101;tchapgouv/matrix-rust-sdk;2026-08-31T17:08:21Z;False;ZONA_INCERTEZA;0.9308;CORRIGIDO;0.9308;0.9516;-0.0209;ZONA_INCERTEZA;lev_only;2026-08-31T23:21:09.289617+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-53549;d0c01006e4808db5eb96ad5c496416f284d8bd3c;crates/matrix-sdk-sqlite/src/event_cache_store.rs;101;Hywan/matrix-rust-sdk;2026-08-31T16:18:52Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:21:09.585332+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-48937;13c1d2048286bbabf5e7bc6b015aafee98f04d55;crates/matrix-sdk-crypto/src/machine/mod.rs;26;zecakeh/matrix-rust-sdk;2026-08-31T18:26:38Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:21:12.654656+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-48937;13c1d2048286bbabf5e7bc6b015aafee98f04d55;crates/matrix-sdk-crypto/src/machine/mod.rs;26;tchapgouv/matrix-rust-sdk;2026-08-31T17:08:21Z;False;CORRIGIDO;0.9108;CORRIGIDO;0.9108;0.9081;0.0028;ZONA_INCERTEZA;lev_only;2026-08-31T23:21:14.163870+00:00
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-48937;13c1d2048286bbabf5e7bc6b015aafee98f04d55;crates/matrix-sdk-crypto/src/machine/mod.rs;26;Hywan/matrix-rust-sdk;2026-08-31T16:18:52Z;False;FILE_NOT_FOUND;;FILE_NOT_FOUND;;;;FILE_NOT_FOUND;lev_only;2026-08-31T23:21:14.463350+00:00
