upstream;categoria;linguagem;cve_id;fork;status;arquivo;eh_arquivo_de_teste;fix_sha;data_fix_upstream;data_ultimo_toque_fork;lag_dias;lag_confiavel;sim_2a;delta;metrica;fork_created_at;fork_pushed_at;ahead_by;behind_by;stars
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;Hywan/matrix-rust-sdk;FILE_NOT_FOUND;crates/matrix-sdk-base/src/room/room_info.rs;nao;4ea0418abefab2aa93f8851a4d39c723e703e6b0;2025-12-03T15:54:58Z;;;nao;;;lev_only;2022-05-03T07:36:28Z;2026-09-01T15:15:31Z;1;6646;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;zecakeh/matrix-rust-sdk;NAO_CORRIGIDO;crates/matrix-sdk/tests/integration/client.rs;sim;4ea0418abefab2aa93f8851a4d39c723e703e6b0;2025-12-03T15:54:58Z;2023-01-25T17:01:12Z;-1043.0;nao;0.2757;-0.0045;lev_only;2021-03-09T12:54:06Z;2026-08-31T18:26:38Z;1;10350;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;tchapgouv/matrix-rust-sdk;ZONA_INCERTEZA;crates/matrix-sdk/tests/integration/client.rs;sim;4ea0418abefab2aa93f8851a4d39c723e703e6b0;2025-12-03T15:54:58Z;2025-06-03T16:22:53Z;-183.0;nao;0.7463;-0.0265;lev_only;2024-09-02T14:33:01Z;2026-08-31T17:08:21Z;6;3440;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-66622;Hywan/matrix-rust-sdk;ZONA_INCERTEZA;crates/matrix-sdk/tests/integration/client.rs;sim;4ea0418abefab2aa93f8851a4d39c723e703e6b0;2025-12-03T15:54:58Z;2024-07-16T18:13:59Z;-504.9;nao;0.6604;-0.0236;lev_only;2022-05-03T07:36:28Z;2026-09-01T15:15:31Z;1;6646;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-53549;zecakeh/matrix-rust-sdk;FILE_NOT_FOUND;crates/matrix-sdk-sqlite/src/event_cache_store.rs;nao;d0c01006e4808db5eb96ad5c496416f284d8bd3c;2025-07-10T11:55:02Z;;;nao;;;lev_only;2021-03-09T12:54:06Z;2026-08-31T18:26:38Z;1;10350;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-53549;tchapgouv/matrix-rust-sdk;CORRIGIDO;crates/matrix-sdk-sqlite/src/event_cache_store.rs;nao;d0c01006e4808db5eb96ad5c496416f284d8bd3c;2025-07-10T11:55:02Z;2025-06-30T14:10:49Z;-9.9;nao;0.9308;-0.0209;lev_only;2024-09-02T14:33:01Z;2026-08-31T17:08:21Z;6;3440;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-53549;Hywan/matrix-rust-sdk;FILE_NOT_FOUND;crates/matrix-sdk-sqlite/src/event_cache_store.rs;nao;d0c01006e4808db5eb96ad5c496416f284d8bd3c;2025-07-10T11:55:02Z;;;nao;;;lev_only;2022-05-03T07:36:28Z;2026-09-01T15:15:31Z;1;6646;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-48937;zecakeh/matrix-rust-sdk;FILE_NOT_FOUND;crates/matrix-sdk-crypto/src/machine/mod.rs;nao;13c1d2048286bbabf5e7bc6b015aafee98f04d55;2025-06-10T10:07:10Z;;;nao;;;lev_only;2021-03-09T12:54:06Z;2026-08-31T18:26:38Z;1;10350;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-48937;tchapgouv/matrix-rust-sdk;CORRIGIDO;crates/matrix-sdk-crypto/src/machine/mod.rs;nao;13c1d2048286bbabf5e7bc6b015aafee98f04d55;2025-06-10T10:07:10Z;2025-07-01T09:25:03Z;21.0;sim;0.9108;0.0028;lev_only;2024-09-02T14:33:01Z;2026-08-31T17:08:21Z;6;3440;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-48937;Hywan/matrix-rust-sdk;FILE_NOT_FOUND;crates/matrix-sdk-crypto/src/machine/mod.rs;nao;13c1d2048286bbabf5e7bc6b015aafee98f04d55;2025-06-10T10:07:10Z;;;nao;;;lev_only;2022-05-03T07:36:28Z;2026-09-01T15:15:31Z;1;6646;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-48937;zecakeh/matrix-rust-sdk;FILE_NOT_FOUND;crates/matrix-sdk-crypto/src/machine/tests/decryption_verification_state.rs;sim;13c1d2048286bbabf5e7bc6b015aafee98f04d55;2025-06-10T10:07:10Z;;;nao;;;lev_only;2021-03-09T12:54:06Z;2026-08-31T18:26:38Z;1;10350;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-48937;tchapgouv/matrix-rust-sdk;CORRIGIDO;crates/matrix-sdk-crypto/src/machine/tests/decryption_verification_state.rs;sim;13c1d2048286bbabf5e7bc6b015aafee98f04d55;2025-06-10T10:07:10Z;2025-06-25T11:05:14Z;15.0;sim;0.9627;0.072;lev_only;2024-09-02T14:33:01Z;2026-08-31T17:08:21Z;6;3440;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2025-48937;Hywan/matrix-rust-sdk;FILE_NOT_FOUND;crates/matrix-sdk-crypto/src/machine/tests/decryption_verification_state.rs;sim;13c1d2048286bbabf5e7bc6b015aafee98f04d55;2025-06-10T10:07:10Z;;;nao;;;lev_only;2022-05-03T07:36:28Z;2026-09-01T15:15:31Z;1;6646;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2024-40648;zecakeh/matrix-rust-sdk;VULNERAVEL;crates/matrix-sdk-crypto/src/identities/user.rs;nao;76a7052149bb8f722df12da915b3a06d19a6695a;2024-07-18T14:20:47Z;2023-03-28T19:08:57Z;-477.8;nao;0.6897;-0.091;lev_only;2021-03-09T12:54:06Z;2026-08-31T18:26:38Z;1;10350;0
matrix-org/matrix-rust-sdk;sdk;rust;CVE-2024-40648;tchapgouv/matrix-rust-sdk;CORRIGIDO;crates/matrix-sdk-crypto/src/identities/user.rs;nao;76a7052149bb8f722df12da915b3a06d19a6695a;2024-07-18T14:20:47Z;2025-06-10T11:53:09Z;326.9;sim;0.5559;0.0539;lev_only;2024-09-02T14:33:01Z;2026-08-31T17:08:21Z;6;3440;0
